0.00100000,100.00000000,0.10439168,0.01202819,0.00867810
0.00500000,100.00000000,0.43225727,0.04573320,0.02983411
0.01000000,100.00000000,0.69512069,0.06860855,0.03878004
0.05000000,100.00000000,1.08996918,0.11200687,0.01799780
0.10000000,100.00000000,1.09643169,0.12436207,0.00565764
0.50000000,100.00000000,1.09646081,0.12861719,0.00140252
1.00000000,100.00000000,1.09646081,0.12861723,0.00140248
5.00000000,100.00000000,1646802954594839489989743330463497520632125649017594066656799108517330944.00000000,-1857234780657220308515728689625516361342897890777621073887426543985964367424864846348288.00000000,-1857234780657219866803962495029433965518522705047992117016452325081224837023314523193344.00000000
10.00000000,100.00000000,1289889724271263559761753487573383709973610231402221807034147505592816117658233335622790570067947719491584.00000000,-1306120657185945134123679774425231288050748564449179657075762381329881746162449497962203221142758443946239214751422873600.00000000,-1306120657185945420811006773184170239403360477210047256646386027365022213361054421327562732203359452698558353517133692928.00000000
0.90000000,100.00000000,1.09646081,0.12861723,0.00140248
